0,1
Datasets\IAM_Sentences\sentences\c03\c03-007f\c03-007f-s01-02.png,"play-grounds , the public monuments and"
Datasets\IAM_Sentences\sentences\g06\g06-045h\g06-045h-s00-07.png,Dr. Samuel Hahnemann .
Datasets\IAM_Sentences\sentences\m06\m06-019\m06-019-s08-01.png,joined us .
Datasets\IAM_Sentences\sentences\m06\m06-076\m06-076-s02-02.png,at last .
Datasets\IAM_Sentences\sentences\n04\n04-052\n04-052-s00-01.png,must have been worth a great deal to the proprietors
Datasets\IAM_Sentences\sentences\m04\m04-072\m04-072-s00-01.png,"complete her mission . """
Datasets\IAM_Sentences\sentences\n02\n02-028\n02-028-s02-01.png,"had had a thoroughly good time , and it would take them"
Datasets\IAM_Sentences\sentences\p03\p03-135\p03-135-s05-00.png,I don't deserve
Datasets\IAM_Sentences\sentences\n01\n01-009\n01-009-s02-00.png,They might have been
Datasets\IAM_Sentences\sentences\b04\b04-047\b04-047-s00-01.png,be in England .
Datasets\IAM_Sentences\sentences\a01\a01-038\a01-038-s03-00.png,They said they
Datasets\IAM_Sentences\sentences\b06\b06-053\b06-053-s01-02.png,of organisational dominance
Datasets\IAM_Sentences\sentences\k04\k04-054\k04-054-s00-03.png,"alone , against that glowing , barbaric background ,"
Datasets\IAM_Sentences\sentences\e01\e01-055\e01-055-s00-04.png,numerous other crocheted pieces .
Datasets\IAM_Sentences\sentences\a01\a01-043u\a01-043u-s01-01.png,defended the appointment of a Negro as
Datasets\IAM_Sentences\sentences\a01\a01-102u\a01-102u-s00-02.png,anybody supporting the increased charges is a
Datasets\IAM_Sentences\sentences\r02\r02-000\r02-000-s01-04.png,life-insurances or any of the other normal
Datasets\IAM_Sentences\sentences\a01\a01-053x\a01-053x-s03-00.png,Senator Robertson's
Datasets\IAM_Sentences\sentences\m01\m01-038\m01-038-s01-02.png,4ementalating energy along the length of
Datasets\IAM_Sentences\sentences\a04\a04-092\a04-092-s00-02.png,"the U.S. Government , Earl Russell suggested ."
Datasets\IAM_Sentences\sentences\g06\g06-047m\g06-047m-s00-04.png,increasing number of disciples among
Datasets\IAM_Sentences\sentences\r02\r02-010\r02-010-s01-01.png,"Royce and a Sussex manor house , all"
Datasets\IAM_Sentences\sentences\m04\m04-123\m04-123-s01-01.png,"restive queue of people in the bus station ,"
Datasets\IAM_Sentences\sentences\n04\n04-031\n04-031-s04-00.png,""" But I don't know what"
Datasets\IAM_Sentences\sentences\g06\g06-018a\g06-018a-s01-01.png,"usual ' , but hoped , he told Arthur , ' to find"
Datasets\IAM_Sentences\sentences\k04\k04-103\k04-103-s01-02.png,of travellers in the district .
Datasets\IAM_Sentences\sentences\d04\d04-066\d04-066-s03-02.png,to the children any more diligently and the
Datasets\IAM_Sentences\sentences\a01\a01-102u\a01-102u-s00-03.png,"wicked , old - . """
Datasets\IAM_Sentences\sentences\p03\p03-158\p03-158-s02-02.png,"it , looking moodily beyond her ."
Datasets\IAM_Sentences\sentences\c03\c03-096d\c03-096d-s02-01.png,"us to believe that , because of their odd"
